77,[0.73299795],[57.8203545],[[  0.73299795   3.2630421  -57.8203545 ]],[[ 0.99922171  0.00763446 -0.03869986]],[[-0.007692    0.99996952 -0.00133805]],[[0.03868847 0.00163468 0.99924998]]
78,[0.75042886],[58.81852373],[[  0.75042886   3.32095888 -58.81852373]],[[ 0.99919724  0.00866698 -0.03911224]],[[-0.00880314  0.99995577 -0.00331056]],[[0.03908182 0.00365222 0.99922934]]
79,[0.8044168],[59.81459257],[[  0.8044168    3.3911883  -59.81459257]],[[ 0.99916241  0.00844058 -0.04004047]],[[-0.0086284   0.99995256 -0.00452026]],[[0.04000042 0.00486196 0.99918783]]
80,[0.82680069],[60.81048313],[[  0.82680069   3.4789434  -60.81048313]],[[ 0.9991162   0.00921101 -0.04101201]],[[-0.00941979  0.99994362 -0.00490049]],[[0.04096456 0.00528248 0.99914664]]
81,[0.85660915],[61.80810751],[[  0.85660915   3.54104852 -61.80810751]],[[ 0.99908315  0.00995487 -0.04163835]],[[-0.01017108  0.99993585 -0.00498396]],[[0.04158606 0.0054029  0.99912032]]
82,[0.87857525],[62.80586484],[[  0.87857525   3.60427667 -62.80586484]],[[ 0.99902934  0.01202615 -0.04237634]],[[-0.01226262  0.99991063 -0.00532454]],[[0.04230852 0.00583901 0.99908753]]
83,[0.89288407],[63.80336277],[[  0.89288407   3.6735092  -63.80336277]],[[ 0.99895836  0.01347686 -0.04359553]],[[-0.01372971  0.99989058 -0.00550584]],[[0.04351655 0.00609866 0.99903409]]
84,[0.92893235],[64.80062292],[[  0.92893235   3.73810569 -64.80062292]],[[ 0.99888523  0.01522571 -0.04468184]],[[-0.01548787  0.99986478 -0.00552696]],[[0.04459164 0.00621282 0.99898598]]
85,[0.99050152],[65.79581697],[[  0.99050152   3.81425067 -65.79581697]],[[ 0.9988318   0.01578198 -0.04567244]],[[-0.01604622  0.99985654 -0.00542473]],[[0.04558028 0.00615127 0.99894174]]
86,[1.02599015],[66.79315188],[[  1.02599015   3.87799726 -66.79315188]],[[ 0.99880387  0.01696011 -0.04586042]],[[-0.01720845  0.99983929 -0.0050259 ]],[[0.04576781 0.00580907 0.99893521]]
87,[1.08420683],[67.7894707],[[  1.08420683   3.94092277 -67.7894707 ]],[[ 0.9987395   0.01819248 -0.04678073]],[[-0.01842516  0.9998199  -0.00454748]],[[0.04668957 0.00540369 0.99889483]]
